transcript	CCL	CL	CT	T
atlasMiR-107-5p_CGCGG#4	  8.643866	  8.548927	 14.349680	534.187584
atlasMiR-107-3p_CGCGG#4	 20.22582	227.88632	137.11334	 39.10289
atlasMiR-111_CGG#5	 42.69830	 61.63491	126.83756	 45.20584
atlasMiR-111-5p_CGG#5	132.25396	107.19214	 72.42200	 58.80634
atlasMiR-111-3p_CGG#5	 19.34338	 85.22085	 80.92004	226.77624
atlasMiR-115_CGGGG#4	 13.08579	 17.28558	 38.58006	350.31037
atlasMiR-115-5p_CGGGG#4	 17.06063	 39.89351	 52.69373	279.78040
atlasMiR-115-3p_CGGGG#4	 11.70657	 76.54049	119.58551	 44.65599
atlasMiR-118-5p_CGCGG#3	  8.848426	 10.924712	 32.825394	363.424109
atlasMiR-118-3p_CGCGG#3	 54.58667	 42.73743	 74.72389	116.98603
atlasMiR-119-5p_CGGGG#4	22.09028	59.46964	94.53842	80.62786
atlasMiR-119-3p_CGGGG#4	 32.88449	 62.50050	 71.53001	136.07237
atlasMiR-83503-5p_CGG#3	  7.923727	 49.557379	 52.446864	248.050046
atlasMiR-83503-3p_CGG#3	13.57614	39.38261	92.65936	93.61942
atlasMiR-83516-5p_CGGGG#4	 43.80238	116.24351	 69.49567	106.99416
atlasMiR-83516-3p_CGGGG#4	 11.97068	 25.34655	 55.91691	226.22676
atlasMiR-139_CGGGG#4	 17.53294	 58.33474	 70.29015	157.23710
atlasMiR-139-5p_CGGGG#4	 37.56936	 82.56871	 58.50005	141.82388
atlasMiR-139-3p_CGGGG#4	  9.750177	 16.246285	 16.415692	351.665665
atlasMiR-83518-3p_CGGGG#3	 13.30295	108.19603	 62.83659	164.40813
atlasMiR-83518-5p_CGGGG#3	 13.08314	 49.63719	 53.91231	187.30763
atlasMiR-151-5p_CCGGG#2	  6.901087	  7.985215	 22.820347	310.297330
atlasMiR-151-3p_CCGGG#2	65.341662	99.018551	73.929583	 1.464836
atlasMiR-163-5p_CGGGG#3	36.01021	48.88489	78.11021	47.13982
atlasMiR-163-3p_CGGGG#3	 21.71757	 22.99386	 35.89045	219.95089
atlasMiR-83539-5p_CGGGG#4	 73.22722	100.56889	 47.33155	 69.69130
atlasMiR-83539-3p_CGGGG#4	 12.80966	 38.04940	 22.79079	273.74031
atlasMiR-175-5p_CCGGG#3	14.29850	10.57018	80.70233	64.76437
atlasMiR-175-3p_CCGGG#3	  6.648548	 22.856958	 50.538638	176.768967
atlasMiR-176-5p_CCGGG#4	39.310398	54.314962	80.281708	 3.287081
atlasMiR-176-3p_CCGGG#4	  8.415524	  9.701961	 24.395117	267.104558
atlasMiR-83541-5p_CGG#4	 11.22049	 34.50579	 46.82810	170.71526
atlasMiR-83541-3p_CGG#4	13.44429	59.70252	63.79465	98.61421
atlasMiR-190-5p_CCGGG#3	11.39525	18.98836	88.74208	10.11479
atlasMiR-190-3p_CCGGG#3	 27.27811	138.68511	 36.22243	151.78394
atlasMiR-83548-5p_CGG#3	  7.541024	114.967915	 81.008183	 29.702133
atlasMiR-83548-3p_CGG#3	33.11314	72.13217	66.02439	36.20999
atlasMiR-195_CGGGG#4	18.527184	10.570071	80.676544	 4.325204
atlasMiR-195-5p_CGGGG#4	75.12573	30.74872	39.04993	34.29504
atlasMiR-195-3p_CGGGG#4	15.80266	28.94408	62.07534	61.80092
atlasMiR-83552-3p_CGG#1	  6.52287	 14.01517	 22.20104	223.19310
atlasMiR-83552-5p_CGG#1	20.14453	18.82542	51.94881	85.13521
atlasMiR-83553-3p_CGGGG#4	 72.05700	144.63380	 36.68599	 18.47190
atlasMiR-83553-5p_CGGGG#4	 11.76369	 34.12017	 30.54265	170.24727
atlasMiR-83560-5p_CCGGG#4	29.52764	41.37499	43.71300	87.06449
atlasMiR-83560-3p_CCGGG#4	29.34899	12.61570	40.48509	95.59886
atlasMiR-83561-3p_CGGGG#4	17.18700	91.66672	67.44828	14.19072
atlasMiR-83561-5p_CGGGG#4	 17.52292	 21.04885	 41.47900	113.62827
atlasMiR-211-5p_CGGGG#3	18.54563	35.43361	68.51766	12.07668
atlasMiR-211-3p_CGGGG#3	  7.318151	 44.920184	 21.635019	187.829005
atlasMiR-83569-5p_CGG#3	 71.210960	122.208045	 34.289921	  7.465953
atlasMiR-83569-3p_CGG#3	20.22549	48.66305	58.51771	27.97857
atlasMiR-216-5p_CGGGG#3	  7.889435	 19.165882	 16.781857	203.861952
atlasMiR-216-3p_CGGGG#3	 16.707555	  3.978446	 41.069196	100.315782
atlasMiR-217-5p_CGGGG#4	19.74088	43.98053	47.37414	66.82603
atlasMiR-217-3p_CGGGG#4	26.163164	22.294648	61.155188	 4.032202
atlasMiR-220-5p_CGG#4	 13.61217	 51.63483	 24.51226	152.00873
atlasMiR-220-3p_CGG#4	16.19563	57.93260	59.39862	14.01663
atlasMiR-225-5p_CGGGG#3	 7.176143	32.675935	67.399163	 4.613059
atlasMiR-83580-3p_CCGGG#3	  8.137463	 13.051940	 25.221293	153.353686
atlasMiR-83580-5p_CCGGG#3	  5.693541	 10.643018	 17.360493	180.261835
atlasMiR-230-5p_CGG#3	11.579416	46.429138	60.737998	 9.424332
atlasMiR-230-3p_CGG#3	34.607851	56.553765	48.109602	 7.339405
atlasMiR-232-5p_CGGGG#2	29.79462	67.57133	37.94045	48.10310
atlasMiR-232-3p_CGGGG#2	29.221589	42.351377	50.080005	 7.256713
atlasMiR-83590-3p_CGGGG#1	20.35866	39.48703	40.92854	55.77020
atlasMiR-83590-5p_CGGGG#1	11.15234	20.92833	52.24009	35.43211
atlasMiR-241-5p_CGGGG#4	17.44435	51.08485	44.10795	48.63814
atlasMiR-241-3p_CGGGG#4	 8.824635	79.624027	53.305466	25.191842
atlasMiR-279-5p_CGG#4	26.82744	19.90525	32.07600	70.18352
atlasMiR-279-3p_CGG#4	  3.250823	  8.252306	 10.745690	191.877637
atlasMiR-302-5p_CGGGG#3	 3.781671	 8.992420	41.162637	80.413535
atlasMiR-302-3p_CGGGG#3	10.68041	25.99649	36.68172	75.37618
atlasMiR-83661-5p_CGGGG#4	  4.825813	 13.975160	 19.783332	144.398961
atlasMiR-83661-3p_CGGGG#4	  4.808410	  6.957512	 19.898316	142.760587
atlasMiR-83676_CCGGG#3	70.352325	40.979948	20.745673	 2.506752
atlasMiR-83676-3p_CCGGG#3	27.129392	48.724476	42.801659	 2.529659
atlasMiR-83676-5p_CCGGG#3	  5.784437	 21.407787	 26.536149	100.956390
atlasMiR-83680-3p_CGGGG#0	14.734793	 9.986073	44.530526	17.151457
atlasMiR-83680-5p_CGGGG#0	  2.316457	  7.632827	 16.160110	141.602069
atlasMiR-324-5p_CGG#2	14.29906	21.73710	33.27288	55.40843
atlasMiR-324-3p_CGG#2	10.06091	27.61325	30.99692	70.65034
atlasMiR-83716-5p_CGG#5	 9.098315	16.880324	33.948602	56.936717
atlasMiR-83716-3p_CGG#5	12.60781	37.91925	27.24384	68.77220
atlasMiR-83723-3p_CGGGG#4	29.2771635	92.2640579	34.5365343	 0.9166275
atlasMiR-83723-5p_CGGGG#4	36.578398	42.858885	30.541034	 3.662821
atlasMiR-83727-5p_CGG#2	  4.575374	 10.806888	  8.756850	145.659487
atlasMiR-83727-3p_CGG#2	12.226993	12.185019	42.926679	 5.976663
atlasMiR-83816-5p_CCGGG#3	 3.451362	12.224316	47.022241	 3.321344
atlasMiR-83816-3p_CCGGG#3	19.50103	79.97222	15.00184	77.95338
atlasMiR-437-5p_CGGGG#4	  7.531833	 31.991323	 13.618396	109.471151
atlasMiR-437-3p_CGGGG#4	  2.598516	  8.963783	  5.054732	152.178535
atlasMiR-452-5p_CGGGG#3	 5.720886	27.400259	41.423869	12.138225
atlasMiR-452-3p_CGGGG#3	 5.541744	16.071944	42.507178	 4.984398
atlasMiR-461-5p_CGGG#4	 5.425244	34.044451	21.735081	71.308793
atlasMiR-461-3p_CGGG#4	 3.240273	 8.521113	20.011998	78.868590
atlasMiR-83836-3p_CGGGG#3	  0.8944606	  1.6588508	  4.4940024	139.4441741
atlasMiR-83836-5p_CGGGG#3	14.8858702	98.7678692	31.9564927	 0.3725705
atlasMiR-468-5p_CGCGG#4	23.106404	45.414917	28.183072	 3.396699
atlasMiR-468-3p_CGCGG#4	  6.611928	  7.083512	  6.355900	115.316541
atlasMiR-476-5p_CGGGG#2	12.289924	 7.670103	29.933188	19.194416
atlasMiR-476-3p_CGGGG#2	12.879120	22.838897	33.323026	 3.689513
atlasMiR-490-5p_CGG#0	14.55737	50.10479	24.40900	27.41511
atlasMiR-83851-3p_CGG#0	 6.666048	36.802427	29.448350	26.324776
atlasMiR-490-3p_CGG#0	30.429399	29.516103	22.383009	 5.494893
atlasMiR-83851-5p_CGG#0	 9.659322	12.422247	28.617390	24.773674
atlasMiR-491_CG#3	11.247616	 2.466885	24.610473	36.918986
atlasMiR-491-5p_CG#3	11.36576	26.90355	17.27253	60.03011
atlasMiR-491-3p_CG#3	 3.931577	14.470982	12.177383	92.257318
atlasMiR-83862-3p_CGGG#4	 25.010400	104.375707	 23.219180	  1.012011
atlasMiR-83862-5p_CGGG#4	 5.305768	18.100742	25.177040	40.478103
atlasMiR-521-5p_CGGGG#4	 3.041458	 3.831311	13.459503	87.064486
atlasMiR-521-3p_CGGGG#4	13.21569	23.76552	21.68406	35.41041
atlasMiR-83898-5p_CCGGG#4	 6.367051	22.996342	17.556391	61.526776
atlasMiR-83898-3p_CCGGG#4	 4.754382	17.888308	25.502599	35.900994
atlasMiR-563-5p_CCGGG#3	 7.048041	23.228556	20.901585	45.717087
atlasMiR-563-3p_CCGGG#3	  0.9926354	  0.0000000	  3.8458834	119.8299076
atlasMiR-83903-3p_CGG#2	10.43912	18.85873	22.06412	31.77197
atlasMiR-83903-5p_CGG#2	 5.704618	13.809142	23.588523	36.064085
atlasMiR-83905-3p_CGGG#3	 6.321179	11.273194	31.528850	 4.965382
atlasMiR-83905-5p_CGGG#3	 8.347388	 2.851228	21.320059	36.094345
atlasMiR-568-5p_CGGGG#4	 2.059316	 7.774592	19.169515	55.401037
atlasMiR-568-3p_CGGGG#4	11.293823	 4.436893	11.658272	64.195110
atlasMiR-570-5p_CGGGG#3	 4.390305	18.024647	12.302136	72.017159
atlasMiR-570-3p_CGGGG#3	 5.543587	 5.203165	12.948584	66.998975
atlasMiR-576-5p_CGGGG#4	 4.80054	17.42432	10.98591	73.16922
atlasMiR-576-3p_CGGGG#4	 4.015186	11.426018	15.819697	56.937670
atlasMiR-83940_CGCGG#4	 7.053345	26.660525	15.950987	48.462536
atlasMiR-83940-5p_CGCGG#4	 2.668385	 5.836507	13.720014	63.737129
atlasMiR-83940-3p_CGCGG#4	18.687148	13.164625	21.498110	 1.722861
atlasMiR-83960-5p_CGGGG#4	 1.780728	 4.728038	22.937326	29.309476
atlasMiR-83960-3p_CGGGG#4	 4.046727	 3.743617	11.543028	64.044702
atlasMiR-83969-5p_CGGG#3	 6.4760634	 2.5031783	27.9032232	 0.4170794
atlasMiR-83969-3p_CGGG#3	 3.903608	 8.087145	24.141599	17.977601
atlasMiR-602-5p_CGGGG#3	 2.697551	 9.403268	28.814234	 2.534869
atlasMiR-602-3p_CGGGG#3	 9.875948	15.143186	22.191695	11.057476
atlasMiR-83971-3p_CGGGG#4	 4.133722	 8.365272	19.186541	32.623330
atlasMiR-83971-5p_CGGGG#4	 2.334334	 2.628343	28.803593	 2.322294
atlasMiR-83992-5p_CGGG#4	 7.318824	15.196119	11.031212	53.487279
atlasMiR-83992-3p_CGGG#4	 5.007608	10.773471	11.254005	56.065396
atlasMiR-84010-3p_CGGGG#2	 3.850330	 7.038969	 9.936272	63.355705
atlasMiR-84010-5p_CGGGG#2	 4.5557614	 8.1197271	26.5189771	 0.2698999
atlasMiR-84021-3p_CGGGG#4	14.458237	 2.706388	16.723768	16.219521
atlasMiR-84021-5p_CGGGG#4	 1.768127	 7.259632	10.645281	62.175421
atlasMiR-701-5p_CGG#2	15.041301	 3.802725	17.865851	10.495631
atlasMiR-701-3p_CGG#2	16.71511	12.69620	11.04465	30.45369
atlasMiR-722-5p_CGG#4	 6.5833033	13.7791616	24.7909433	 0.4635367
atlasMiR-722-3p_CGG#4	12.830878	21.623033	19.428122	 5.339844
atlasMiR-84092-5p_CGGG#4	 7.7024419	58.9589140	22.2885706	 0.6572145
atlasMiR-84136-5p_CGGGG#2	29.994194	25.365040	10.318127	 2.370163
atlasMiR-84136-3p_CGGGG#2	 3.444793	 4.398518	 8.239705	62.675243
atlasMiR-779-5p_CGGGG#3	 2.437649	 8.899544	16.361405	34.965472
atlasMiR-779-3p_CGGGG#3	 2.530316	 1.891881	 7.577774	66.733901
atlasMiR-792-5p_CGGGG#3	 2.195011	 5.450323	20.453856	20.421830
atlasMiR-792-3p_CGGGG#3	15.978112	 3.300674	15.763823	10.254531
atlasMiR-84165-5p_CGGGG#4	 4.692981	 9.070083	22.182693	 8.741979
atlasMiR-84165-3p_CGGGG#4	13.325458	 9.824341	19.284764	 2.077384
atlasMiR-84175-3p_CGGGG#4	 2.715955	 7.030536	 6.046507	70.199688
atlasMiR-84175-5p_CGGGG#4	 2.815064	 8.275491	 6.353304	68.379460
atlasMiR-840-5p_CGG#1	 2.398495	 1.543912	25.208114	 1.228918
atlasMiR-840-3p_CGG#1	 1.148504	 4.339270	 2.241249	84.995077
atlasMiR-84213-3p_CGGGG#3	 0.9689579	 0.0000000	12.7921413	44.6038921
atlasMiR-84226-5p_CCGGG#4	 6.789646	 2.578287	19.056033	10.379094
atlasMiR-84226-3p_CCGGG#4	 8.6478115	26.3574037	19.7243324	 0.7151162
atlasMiR-875-5p_CGGGG#4	 2.907312	 4.037358	11.833282	42.287174
atlasMiR-875-3p_CGGGG#4	 0.5712060	 1.0021787	 0.7128175	86.3297292
atlasMiR-84258-5p_CGGGG#4	 3.252313	 5.302492	19.449556	13.774208
atlasMiR-882-5p_CGGGG#4	 4.200830	 6.657083	13.208721	32.740705
atlasMiR-882-3p_CGGGG#4	 5.233419	 6.492010	 8.321376	48.057328
atlasMiR-883-5p_CGGGG#4	 1.8530426	 0.6361918	10.2621278	48.2012450
atlasMiR-883-3p_CGGGG#4	 7.987003	14.591074	12.538131	25.084504
atlasMiR-908-5p_CGGGG#4	 5.118183	28.580717	11.854117	31.046195
atlasMiR-908-3p_CGGGG#4	12.34439	24.77734	16.19943	 1.32949
atlasMiR-84269-5p_CGG#4	 5.755465	 6.176686	10.470769	36.586329
atlasMiR-84269-3p_CGG#4	 5.129706	16.010023	10.241942	37.057937
atlasMiR-912-5p_CGG#4	 5.077358	 4.504964	 9.676246	39.127744
atlasMiR-912-3p_CGG#4	 1.5984730	 0.6825361	 2.2164357	71.7740179
atlasMiR-925-5p_CGGGG#4	 4.101308	11.733920	 5.794186	52.591077
atlasMiR-925-3p_CGGGG#4	 1.572951	 3.699319	 3.000613	67.858544
atlasMiR-927-5p_CGGGG#4	 1.143825	 1.076761	 2.092277	70.912926
atlasMiR-927-3p_CGGGG#4	 9.149704	17.662658	14.313948	 9.697685
atlasMiR-935-5p_CG#1	 8.278404	23.034761	 9.743887	26.427258
atlasMiR-935-3p_CG#1	12.045482	31.078633	14.319511	 1.737572
atlasMiR-84332-3p_CGGGG#4	 3.589045	 4.056484	10.326065	35.326968
atlasMiR-963-5p_CGG#1	 2.237229	 5.303798	20.385960	 1.839171
atlasMiR-963-3p_CGG#1	 3.993371	 8.777592	 9.631269	35.911513
atlasMiR-964-5p_CGGGG#4	 5.9974771	 9.6431138	18.0775231	 0.9789046
atlasMiR-964-3p_CGGGG#4	13.5562822	 1.3210085	14.1597103	 0.9070036
atlasMiR-989-5p_CGG#2	12.20236	15.25742	14.34054	 1.29055
atlasMiR-989-3p_CGG#2	 4.200155	 9.563272	13.866430	18.985325
atlasMiR-84364-5p_CCGGG#4	 6.227119	 9.457012	17.674362	 1.348802
atlasMiR-84364-3p_CCGGG#4	 6.342729	11.062982	12.891149	17.873572
atlasMiR-1017-5p_CGGGG#2	 2.358846	 2.021938	 7.993876	41.682251
atlasMiR-1017-3p_CGGGG#2	 1.1581668	 3.9513410	20.1145772	 0.3061588
atlasMiR-84407-3p_CGGGG#3	 8.420599	32.082317	13.459254	 6.304250
atlasMiR-84407-5p_CGGGG#3	 1.6398837	 0.5382363	 2.6154035	61.6638116
atlasMiR-1045-5p_CGG#1	12.538782	 5.940165	12.819102	 3.016633
atlasMiR-1045-3p_CGG#1	10.5741350	 0.0000000	14.8309057	 0.1395218
atlasMiR-1056-5p_CG#0	 7.395491	 3.297552	 8.746462	27.216755
atlasMiR-1056-3p_CG#0	 1.673096	13.705635	14.827207	14.916576
atlasMiR-1067_CCGGG#2	 7.14052384	 2.03117872	16.31592223	 0.08018968
atlasMiR-1067-5p_CCGGG#2	 2.186533	 5.446245	14.305153	16.451840
atlasMiR-1067-3p_CCGGG#2	13.56279	14.59320	11.62561	 2.61166
atlasMiR-84451-3p_CGGGG#2	 7.6022030	 7.5650520	15.5597218	 0.5332255
atlasMiR-84451-5p_CGGGG#2	 2.1302690	 9.8845249	18.2286135	 0.6753501
atlasMiR-1097-5p_CGGGG#3	 2.037576	 3.717598	11.173980	26.574964
atlasMiR-1097-3p_CGGGG#3	 1.0377822	 1.3235236	18.9357278	 0.8488071
atlasMiR-84495-3p_CG#1	 0.5176446	 0.0000000	 3.1900634	57.3954271
atlasMiR-84497-3p_CGG#3	 1.6379086	 0.9866774	 2.2150666	58.3015507
atlasMiR-84497-5p_CGG#3	10.0327242	46.0083070	12.1174225	 0.9452513
atlasMiR-84498-5p_CGGG#3	 0.9254205	 0.0000000	 5.3231391	47.9982365
atlasMiR-84503-5p_CGGGG#4	 5.665575	13.430702	 6.315652	33.331400
atlasMiR-1140-5p_CGGGG#3	18.7514681	26.7428392	 7.9322446	 0.4616296
atlasMiR-1140-3p_CGGGG#3	 3.393232	14.237922	15.339336	 5.154805
atlasMiR-84506_CGCGG#4	 1.2655206	 0.8383003	 2.2285349	57.3654916
atlasMiR-84506-5p_CGCGG#4	 1.7467436	 6.0798033	17.6909239	 0.6649549
atlasMiR-84506-3p_CGCGG#4	15.1910362	 4.2654828	10.1959537	 0.6682468
atlasMiR-84518-5p_CGGG#4	 6.075613	21.213687	14.495755	 1.181041
atlasMiR-1156_CGGGG#3	 0.7414134	 4.2546959	17.9078334	 1.0779232
atlasMiR-1156-5p_CGGGG#3	11.6714816	27.1625035	11.0835538	 0.2810364
atlasMiR-1156-3p_CGGGG#3	 5.309457	11.676732	 8.034350	25.216623
atlasMiR-1173-5p_CGGGG#4	 3.074386	 5.789810	15.867139	 1.913696
atlasMiR-1173-3p_CGGGG#4	11.439570	14.594418	11.077119	 1.417449
atlasMiR-1174-5p_CGGGG#4	 1.5125724	 0.5472675	17.1142115	 0.3875506
atlasMiR-1174-3p_CGGGG#4	 9.829524	27.338651	11.377384	 1.479250
atlasMiR-84545-3p_CGGG#3	 2.286196	 7.160012	12.023696	15.766647
atlasMiR-1188-5p_CGGGG#1	 2.581775	 8.683708	 8.551871	27.117688
atlasMiR-1188-3p_CGGGG#1	 1.093685	 2.062197	 1.518190	54.830050
atlasMiR-1189-5p_CGGGG#3	13.347395	 4.670181	 9.418320	 1.899403
atlasMiR-1189-3p_CGGGG#3	 1.942590	 2.870590	 2.952989	47.321199
atlasMiR-1192-5p_CGG#0	 0.9515696	 0.0000000	 6.7921194	35.8903608
atlasMiR-84559-5p_CGG#0	 1.457439	 4.543196	 4.959646	40.818578
atlasMiR-1192-3p_CGG#0	 4.835801	 8.610106	 7.666339	23.879695
atlasMiR-84559-3p_CGG#0	 2.064505	15.479147	 6.018594	34.116081
atlasMiR-1216_CGGGG#2	 0.9547163	 1.2124168	 2.1677871	50.8295984
atlasMiR-1216-5p_CGGGG#2	 1.919120	 4.264968	 5.851427	35.038640
atlasMiR-84586-3p_CGGGG#2	11.9064698	34.8635793	 9.1143620	 0.3763576
atlasMiR-1216-3p_CGGGG#2	11.0215189	16.3689746	10.1513904	 0.4657912
atlasMiR-84586-5p_CGGGG#2	 0.5189054	 0.0000000	16.3985772	 0.2158236
atlasMiR-1229-5p_CGGGG#4	 2.902881	 4.718378	 6.718520	29.410172
atlasMiR-1229-3p_CGGGG#4	 0.745409	 3.411119	 3.035884	46.791342
atlasMiR-84611-3p_CGGGG#4	 5.276576	28.568428	12.438755	 1.532583
atlasMiR-84611-5p_CGGGG#4	 3.821728	10.472069	10.631210	12.498043
atlasMiR-84612-3p_CGGGG#0	 7.107222	14.201079	11.825008	 1.037371
atlasMiR-84612-5p_CGGGG#0	 1.257119	 1.754373	 3.760910	42.432531
atlasMiR-84622_CGGGG#3	 6.009383	 8.078759	 7.861593	16.794310
atlasMiR-84622-3p_CGGGG#3	 5.603843	 9.919731	11.970687	 2.622840
atlasMiR-84622-5p_CGGGG#3	 1.368210	 2.695487	 6.254653	31.606664
atlasMiR-84625-3p_CGG#5	 2.509681	 7.369306	13.853856	 1.755918
atlasMiR-84642-3p_CGG#2	 7.132532	10.113268	11.115336	 2.014644
atlasMiR-84642-5p_CGG#2	10.162537	 7.644443	 9.888628	 0.681845
atlasMiR-1262-5p_CGG#3	 6.9134227	17.4470615	10.6837412	 0.9428743
atlasMiR-1262-3p_CGG#3	 2.7039262	16.1058480	13.1453550	 0.2243018
atlasMiR-1294-5p_CG#2	11.8615396	15.1400606	 7.8069942	 0.9386241
atlasMiR-1294-3p_CG#2	 0.3569082	 0.0000000	 0.5856989	50.3681996
atlasMiR-84682-3p_CGGG#3	 3.435210	 4.938658	 8.837556	14.187128
atlasMiR-84682-5p_CGGG#3	 7.0166398	11.8772794	10.3298385	 0.9341109
atlasMiR-1322-5p_CGG#5	 7.690960	22.111027	 9.243615	 2.308140
atlasMiR-1322-3p_CGG#5	11.5618979	20.2930553	 7.6257051	 0.4825105
atlasMiR-1341-5p_CGG#2	 1.8964056	 1.2273286	13.3339385	 0.4256768
atlasMiR-1341-3p_CGG#2	 1.417401	 9.195887	 2.026925	40.691421
atlasMiR-84733_CGG#3	11.201148	 5.818932	 7.387994	 2.655638
atlasMiR-84733-5p_CGG#3	 9.516356	93.818606	 5.236830	 3.454147
atlasMiR-84733-3p_CGG#3	 1.862436	15.465789	 4.758905	28.761935
atlasMiR-84747-5p_CGG#4	 2.629495	 8.374295	11.355601	 4.401394
atlasMiR-84747-3p_CGG#4	 3.260403	 3.112786	 7.715740	16.696303
atlasMiR-84749-5p_CGGGG#4	 6.9544656	23.4970329	 9.4974830	 0.6268009
atlasMiR-84749-3p_CGGGG#4	 4.233229	 8.642199	 7.853926	12.948658
atlasMiR-1377-5p_CGGG#3	 4.047782	 3.517158	 8.706169	10.757684
atlasMiR-1377-3p_CGGG#3	 4.647959	11.777733	10.062105	 3.809018
atlasMiR-84765-5p_CGCGG#4	9.0808476	7.5976226	8.4962038	0.8407135
atlasMiR-84764-3p_CGCGG#4	 4.2977288	 3.6297732	11.3637968	 0.2029231
atlasMiR-84764-5p_CGCGG#4	2.421920	2.801913	9.947579	8.980743
